category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Cellular Processes	Cellular community - eukaryotes	hsa04540	Gap junction	44/2663	92/9497	0.478260869565217	1.70561152018808	4.24520459262906	4.04024483833142e-05	0.000286939837497823	0.000174455255103032	5567/5592/3265/2915/80310/1813/3709/7846/84790/3356/7082/5604/5607/115/5579/5595/113/5578/2885/260334/2767/5605/5566/6654/113457/23236/5332/3708/5894/111/5156/5593/108/5159/3710/2697/2911/107/1956/2770/114/2776/1902/3358	44
Organismal Systems	Nervous system	hsa04722	Neurotrophin signaling pathway	54/2663	120/9497	0.45	1.60482538490424	4.16204838278547	4.90703093356341e-05	0.000341529352976013	0.000207644887925525	7161/5293/998/6272/5906/4914/5664/10000/3265/4908/51135/10019/5663/9252/5604/5607/91860/4916/5595/5336/7531/1398/4804/2885/596/25759/4145/5605/5296/208/4909/10782/57498/6654/3667/5335/3656/5894/2932/5291/5602/817/2549/5295/4794/4217/6196/816/8767/4915/53358/25/2889/27330	54
Cellular Processes	Transport and catabolism	hsa04148	Efferocytosis	67/2663	157/9497	0.426751592356688	1.52191508547182	4.11618311652952	5.2166471391696e-05	0.000349114077775197	0.000212256290480383	714/712/6566/5087/240/840/1793/338440/1850/203859/63982/1374/196527/121601/55576/488/51761/23250/2621/29933/102/84465/5604/5595/4775/1398/489/3690/5175/682/5605/126129/7376/89790/4953/1788/9392/10461/51454/1385/64284/50636/10326/140885/1051/8398/1375/1524/5627/7879/64805/10396/817/5467/6446/9844/27072/816/948/286046/114786/5747/575/3717/19/6256/286410	67
Environmental Information Processing	Signal transduction	hsa04390	Hippo signaling pathway	67/2663	157/9497	0.426751592356688	1.52191508547182	4.11618311652952	5.2166471391696e-05	0.000349114077775197	0.000212256290480383	5590/7161/10207/7482/7483/89780/56288/29119/657/6934/7003/5499/1740/10413/81029/7004/894/7480/11211/26524/64398/7043/4088/8312/85407/7531/7473/7484/8313/3993/4092/4089/126374/8463/10971/55233/1496/83439/2736/7475/84612/655/3689/7477/7476/7474/2932/1739/5522/166824/658/85409/5515/1495/2246/5521/23291/654/7005/896/79981/60/8326/6591/392255/6788/1741	67
Organismal Systems	Endocrine system	hsa04912	GnRH signaling pathway	44/2663	93/9497	0.473118279569892	1.68727161136886	4.15749770546767	5.60920993807072e-05	0.000368302841216719	0.000223922780050093	998/5567/5321/779/3265/775/3709/4323/255189/5604/91860/115/5579/5595/113/4313/6416/5606/5578/5608/2885/2767/5605/5566/8605/6654/23236/5332/3708/5894/776/111/5337/5602/817/108/3710/816/107/1956/2185/114/2776/778	44
Human Diseases	Drug resistance: antineoplastic	hsa01522	Endocrine resistance	46/2663	99/9497	0.464646464646465	1.65705875882369	4.10225388411039	6.70466766797591e-05	0.000432078583047337	0.000262697505119524	5293/2475/1870/5567/4853/10000/3265/6667/4193/5925/2100/3714/5604/3480/115/5595/113/4313/9611/2064/2885/596/25759/5605/5566/4854/5296/208/6654/8647/182/8202/638/5894/111/5291/5602/108/5295/1871/2099/107/1956/114/5747/53358	46
Organismal Systems	Endocrine system	hsa04926	Relaxin signaling pathway	57/2663	130/9497	0.438461538461538	1.56367601606054	4.03942381273103	7.53505419019812e-05	0.000476763428761626	0.000289865242532023	2782/5590/5293/5567/148327/10000/3265/4312/4842/1282/1284/54331/5604/51764/115/5595/113/4313/2775/409/6416/5578/2885/25759/2788/2769/5605/84699/117579/5566/5296/208/6654/1385/1286/23236/5332/5894/111/5291/59345/5602/59350/108/51289/5295/9586/107/1956/2770/2792/1278/4846/114/6019/6013/53358	57
Organismal Systems	Digestive system	hsa04974	Protein digestion and absorption	48/2663	105/9497	0.457142857142857	1.63029880371225	4.05397008280085	7.81719532309271e-05	0.00047726034604145	0.000290167361023386	51032/23436/10136/255631/1301/1305/3784/643834/1280/6564/1282/1284/9056/23428/6547/482/11136/478/6543/6546/6519/1290/1286/3769/1293/1299/80781/1291/1295/256076/1360/4311/84570/6550/340024/91522/1302/81578/1310/1297/1278/136227/5644/7373/169044/6505/1289/59272	48
Human Diseases	Cardiovascular disease	hsa05414	Dilated cardiomyopathy	48/2663	105/9497	0.457142857142857	1.63029880371225	4.05397008280085	7.81719532309271e-05	0.00047726034604145	0.000290167361023386	5567/779/183/6262/8516/783/93589/775/488/4842/6445/6547/7043/22801/115/10368/113/489/3690/3691/5566/7171/6543/59283/59285/6546/785/7273/6640/10369/859/3680/4634/9254/776/55799/111/108/3673/6444/3908/60/107/781/137868/114/1756/778	48
Metabolism	Carbohydrate metabolism	hsa00562	Inositol phosphate metabolism	38/2663	78/9497	0.487179487179487	1.73741779562283	4.08203727175646	8.0716730939407e-05	0.000484300385636442	0.00029444760288241	9651/5293/3633/5305/51196/3632/3636/5288/9107/3705/3706/9677/5336/8396/5289/23396/3631/84812/23236/5332/5335/8867/8897/55586/64419/51447/9807/5291/23007/55300/8821/8871/5294/9108/8395/55613/4534/8776	38
Organismal Systems	Endocrine system	hsa04915	Estrogen signaling pathway	60/2663	139/9497	0.431654676258993	1.53940084882901	3.99894981717586	8.52716911179501e-05	0.000502958449305875	0.000305791434695949	5293/5567/148327/10000/3265/1509/3709/6667/2100/3320/5604/91860/115/5595/113/4313/2775/5914/25984/3885/3886/2885/596/25759/5605/84699/5566/5296/208/9687/5443/6654/7039/1385/23236/5332/8202/3763/3708/5894/111/5291/108/5295/3305/3710/2289/2911/2099/4988/9586/107/1956/2770/4846/10499/114/2776/53358/9568	60
Human Diseases	Cancer: specific types	hsa05224	Breast cancer	63/2663	148/9497	0.425675675675676	1.51807806680131	3.96517111008055	9.43056303555947e-05	0.000546972656062449	0.000332551433359202	388585/5293/2475/1870/7482/4853/7483/89780/10000/4791/6934/3265/4041/81029/4040/7480/6667/11211/675/8600/5925/2100/3714/5604/3480/8312/5595/2064/672/7473/7484/8313/2885/25759/27006/5605/4854/5296/208/6654/83439/7475/182/8202/7477/5894/7476/7474/2932/5291/3815/5295/2246/1452/8817/2324/1871/2099/1956/8326/1021/2260/53358	63
Human Diseases	Cancer: overview	hsa05230	Central carbon metabolism in cancer	35/2663	71/9497	0.492957746478873	1.75802467829886	4.0019093820757	0.000112943676884893	0.00064433441894988	0.000391745971593847	5293/2475/4914/10000/5214/80201/3098/2263/23410/3265/57103/3945/27165/5604/4916/3418/5595/8140/2064/5605/5296/208/3099/5894/5291/6514/2261/5156/3815/5295/5159/1956/4233/2260/5160	35
Organismal Systems	Excretory system	hsa04961	Endocrine and other factor-regulated calcium reabsorption	28/2663	53/9497	0.528301886792453	1.88407173070519	4.02870899533002	0.000118249668653505	0.000663723946635801	0.000403534522909244	5567/26052/493/161/7421/6547/8766/115/5579/482/1213/5578/1785/5566/478/6543/3817/6546/23236/5332/8218/491/1212/2099/1211/2776/1759/492	28
Environmental Information Processing	Signal transduction	hsa04150	mTOR signaling pathway	66/2663	158/9497	0.417721518987342	1.48971132775921	3.8746899363179	0.00012829105429078	0.000708655347510975	0.000430852162279813	5293/2475/7482/7483/89780/10000/3265/79899/4041/81029/4040/7480/11211/8408/81617/51382/5604/3480/9894/7249/5579/5595/79726/8140/7473/7484/5578/2885/57521/220441/5605/3643/5296/208/245973/23175/6654/90423/525/7475/3667/9675/529/55615/7477/6396/5894/7476/7474/2932/5291/57600/153129/5295/96459/107080638/6446/6196/54468/2887/8326/6009/51606/79109/10325/27330	66
Environmental Information Processing	Signal transduction	hsa04151	PI3K-Akt signaling pathway	133/2663	362/9497	0.367403314917127	1.31026259172661	3.7570577817916	0.000152301315096748	0.000815731353888372	0.000495952819514709	2782/5293/2475/1969/3716/148327/3570/4914/63923/7143/3914/10000/3559/8516/2263/3265/3481/80310/894/4908/7450/1280/3164/2065/4193/2321/1282/1284/55012/54331/5527/3320/5604/22801/3480/51764/7249/3566/5595/7531/2064/672/3690/4804/1101/5578/2885/3691/57521/3909/23239/596/27006/2788/5605/84699/4902/3643/5585/5296/208/2997/4909/10971/6654/7039/1385/2066/3667/1286/1293/51378/1299/1291/5008/3560/5894/3680/9223/2932/256076/5523/5291/59345/2261/5522/5156/3815/5618/2668/9180/2690/3673/5295/7060/5515/2246/5521/5159/8817/2264/2324/896/1297/3910/3908/6446/7058/9586/1956/9863/1021/2792/1278/5649/5294/22798/4233/1129/4846/6009/285/2260/3574/284/5747/3717/7010/4915/6850/1902/7099/6256	133
Organismal Systems	Immune system	hsa04666	Fc gamma R-mediated phagocytosis	45/2663	99/9497	0.454545454545455	1.62103574232752	3.87734925061409	0.000152363614950414	0.000815731353888372	0.000495952819514709	5293/998/55616/65108/8613/10451/5321/10000/1793/3636/5058/9846/10810/255189/5604/5579/5595/5336/1398/5578/8612/23396/1785/5296/208/7408/8605/8853/5581/3055/5335/8398/5894/5291/5337/4651/5295/273/653857/4067/50807/8395/6850/7410/7454	45
Human Diseases	Cancer: specific types	hsa05215	Prostate cancer	47/2663	106/9497	0.443396226415094	1.58127448827043	3.75661530727588	0.000226868517029639	0.00119621581706537	0.000727281848850995	5293/2475/1870/148327/10000/5328/6934/2263/3265/2348/2915/80310/4193/2308/5925/3320/5604/3480/1387/5595/2064/2885/596/5605/84699/5296/208/354/6654/7039/83439/1385/6573/2033/5894/2932/5291/2119/5156/5295/5159/1871/2911/9586/1956/2260/367	47
NA	NA	hsa04820	Cytoskeleton in muscle cells	89/2663	233/9497	0.381974248927039	1.36222660235076	3.49443911936605	0.000433616778115626	0.00225221848931698	0.00136931614141777	832/3339/255631/1301/4608/3930/88/56776/8516/10529/288/7414/7140/272/5318/91010/6445/81624/1282/1284/23224/51332/825/83660/22801/4629/482/8735/4622/4619/4620/3690/3691/8736/1829/84467/7171/478/79784/4606/7138/6711/200539/2274/114793/7273/1290/1286/1293/6640/57644/1299/1291/25777/2192/2199/3680/165904/4634/256076/4636/10611/287/171024/27295/3673/7060/2201/6444/1832/1302/23500/1297/3908/23345/7058/23353/60/1278/2318/9172/137868/6383/5339/7111/6709/1289/1756/1730	89
Cellular Processes	Cellular community - eukaryotes	hsa04530	Tight junction	68/2663	170/9497	0.4	1.42651145324822	3.50269739341942	0.000460799789023256	0.00234896969432705	0.0014281394693277	5590/998/10207/5567/5906/9181/912/56288/1740/83700/7846/84790/5564/9071/64398/7082/84952/9080/4629/55114/91862/2064/9368/3993/23327/27134/23370/5566/81/7408/8189/79784/5581/113457/53632/84612/7074/861/23562/150084/776/9223/51421/5010/1739/5522/5602/100132463/53842/153562/51735/5515/5521/11346/93643/4217/7430/4301/79778/60/1080/653857/51422/2626/9414/7454/4478/1741	68
Organismal Systems	Immune system	hsa04611	Platelet activation	53/2663	126/9497	0.420634920634921	1.50010132980467	3.52751412907612	0.00046574399111657	0.00234896969432705	0.0014281394693277	5590/5293/5567/5906/5321/10000/54518/5592/6786/5499/7450/3709/255189/83660/115/5595/113/5336/3690/5566/5296/208/9138/7408/2909/8605/23236/5332/3708/111/4638/5291/64805/2814/5593/108/3673/5295/340156/3710/60/107/2770/1278/5294/6916/4846/4067/114/2776/6850/11093/695	53
Human Diseases	Endocrine and metabolic disease	hsa04931	Insulin resistance	47/2663	109/9497	0.431192660550459	1.5377531720795	3.52474853203996	0.000493549983523231	0.00245364848951549	0.00149178265696495	5590/5293/2475/5792/148327/183/10000/5507/5499/1374/32/5564/22877/2308/11001/5579/6517/6774/84699/3643/376497/5296/208/2997/7376/5581/1385/53632/3667/57761/5834/1375/2932/5291/6514/5602/5295/28965/133522/6196/9586/51085/948/4846/51422/5524/27330	47
Environmental Information Processing	Signal transduction	hsa04330	Notch signaling pathway	30/2663	62/9497	0.483870967741935	1.72561869344542	3.57809448004585	0.000512422368846916	0.00251159132899615	0.00152701106209385	388585/23013/4853/5664/1488/23220/84441/9612/5663/8650/22938/3714/83464/1387/102723796/4854/55851/9253/182/83737/11317/2033/1487/3516/55534/6310/3066/3955/7091/7088	30
NA	NA	hsa04081	Hormone signaling	84/2663	219/9497	0.383561643835616	1.36788769489555	3.43817979732621	0.000532954915763106	0.0025447763457432	0.00154718707046093	2782/5293/4985/1733/5567/183/5592/657/2834/1815/3481/341208/1813/79602/2984/53919/10411/4842/54331/2100/1734/3480/51764/6755/115/113/2775/6777/6776/6774/1394/3690/4089/2788/2767/2769/3643/5566/5296/2696/5443/3973/90/11069/3667/51052/10267/23236/5332/6753/5021/7433/111/5291/59345/5593/658/108/4883/5618/2690/5295/4090/147/3062/2099/4988/2768/2692/10268/107/2770/799/2792/148/5368/4986/114/3717/9630/2776/9843/6567/186	84
Human Diseases	Cancer: specific types	hsa05226	Gastric cancer	61/2663	150/9497	0.406666666666667	1.45028664413569	3.46990051018487	0.000533818026549579	0.0025447763457432	0.00154718707046093	5293/2475/1870/7482/6258/7483/89780/10000/29119/6934/2263/3265/4583/4041/81029/4040/7480/11211/5925/7043/5604/4088/8312/5595/2064/7473/7484/8313/2885/4089/596/25759/27006/5605/5296/208/6654/1496/83439/7475/7477/5894/7476/5915/7474/2932/5291/2549/7015/5295/1495/2246/1452/8817/1871/1956/8326/5243/4233/53358/6256	61
Human Diseases	Cancer: specific types	hsa05223	Non-small cell lung cancer	34/2663	73/9497	0.465753424657534	1.66100648665888	3.53889731812281	0.000545463882942342	0.00256515447653966	0.00155957667811395	5293/1870/6258/10000/3265/5925/5604/5579/5595/5336/2064/6777/6776/6774/5578/2885/5605/5296/208/238/6654/7039/5335/6789/5894/5915/2272/5291/5295/1871/1956/1021/4233/6256	34
Cellular Processes	Cell motility	hsa04810	Regulation of actin cytoskeleton	88/2663	232/9497	0.379310344827586	1.35272637808021	3.3952962084736	0.000605776201060246	0.00281080157291954	0.00170892654614891	5293/998/732/10451/4660/55740/1131/10000/8516/5305/7414/2263/1793/3265/22800/5499/5058/80310/5829/221178/81624/8874/1133/5604/22801/8826/4629/5595/3683/3684/3687/1398/3682/85464/8396/3690/3691/10458/27006/23396/5605/5296/81/208/9138/2909/79784/54776/6654/50649/10787/57144/7074/3689/5894/3680/4638/5291/4636/2261/5156/735/730/3673/5295/2246/5159/26999/8817/2264/340156/7430/2768/60/1956/93408/1129/653857/2260/51571/5747/8395/89846/1902/727/7410/4478/1730	88
Environmental Information Processing	Signal transduction	hsa04066	HIF-1 signaling pathway	47/2663	110/9497	0.427272727272727	1.52377359778787	3.44901422428677	0.00063081700664663	0.00288847787253983	0.00175615260853148	5293/2475/3570/54583/10000/5214/5209/8453/80201/3098/4055/3945/2321/5604/3480/6923/1387/5579/5595/5336/2064/6774/5578/596/5605/3643/5296/208/3099/51378/5335/3460/2033/5291/7037/817/5295/816/1956/4846/285/284/7010/7099/5160/7076/5230	47
Organismal Systems	Immune system	hsa04670	Leukocyte transendothelial migration	49/2663	116/9497	0.422413793103448	1.50644528468023	3.42574795802682	0.000668643635817185	0.00301441498376	0.00183272054366534	5293/998/10451/5906/29119/7414/1500/83700/10411/5829/9071/9080/5579/3683/3684/4313/1003/5336/1535/5175/5578/5296/81/7408/2909/1496/11069/5335/23562/3689/4689/5291/5010/4636/7294/100132463/53842/5295/1495/7430/4301/60/2770/93408/2185/5747/7410/4478/83692	49
Organismal Systems	Endocrine system	hsa04917	Prolactin signaling pathway	33/2663	71/9497	0.464788732394366	1.65756612525321	3.47154930614077	0.000685082775412241	0.00301441498376	0.00183272054366534	5293/10000/1586/3265/7054/894/8600/2100/5604/5595/6777/6776/6774/2885/8792/9306/25759/5605/5296/208/6654/3973/6772/5894/2932/5291/6514/5602/5618/5295/2099/3717/53358	33
Organismal Systems	Sensory system	hsa04750	Inflammatory mediator regulation of TRP channels	43/2663	99/9497	0.434343434343434	1.54898970933518	3.4275399836215	0.000700446285112255	0.00301441498376	0.00183272054366534	5293/5567/4914/5321/5499/3709/3356/5583/255189/91860/115/5579/113/5336/7442/239/5606/40/5578/5608/5566/5296/8605/5581/3554/23236/5332/5335/8398/3708/3269/111/5291/5602/817/108/5295/3710/816/107/114/2776/3358	43
Human Diseases	Cardiovascular disease	hsa05410	Hypertrophic cardiomyopathy	43/2663	99/9497	0.434343434343434	1.54898970933518	3.4275399836215	0.000700446285112255	0.00301441498376	0.00183272054366534	779/183/6262/8516/783/93589/775/488/4842/5564/6445/6547/7043/22801/10368/489/3690/3691/7171/6543/59283/59285/6546/785/7273/53632/6640/10369/859/3680/4634/9254/776/55799/3673/6444/3908/60/781/51422/137868/1756/778	43
Environmental Information Processing	Signal transduction	hsa04071	Sphingolipid signaling pathway	51/2663	122/9497	0.418032786885246	1.49082139581269	3.40593387681583	0.000701631073806207	0.00301441498376	0.00183272054366534	5590/5293/4985/134/10000/56624/259230/8879/3265/1509/9846/91012/55012/123099/5527/5604/204219/4363/5579/5595/5578/596/5605/125981/79603/5296/208/5581/253782/23236/5332/55304/637/5894/5523/5291/5337/5522/5602/5295/5515/5521/6610/4217/2768/2770/4846/8439/2776/10558/7186	51
Cellular Processes	Transport and catabolism	hsa04144	Endocytosis	94/2663	252/9497	0.373015873015873	1.33027853775131	3.31700109411742	0.00076839529834838	0.00323481324090438	0.00196671948403442	116983/5590/832/998/55616/9829/26052/3559/56288/414189/2869/2263/3265/161/84364/55048/254122/156/2348/867/112936/440073/377/4193/11021/79720/6011/30844/51324/8766/4088/5371/6457/3480/55737/9798/409/9135/22905/84440/147179/1213/9267/79643/23327/23396/9230/1785/58513/30846/8853/30845/26056/100526767/10254/7456/116987/83737/84612/57403/8218/3560/27128/26286/859/9922/64145/8723/7879/5337/7037/2261/5156/84249/1212/2264/3305/60682/273/1956/858/653857/116988/137492/23362/50807/100287171/6456/1211/8395/89853/1759/30011/23096	94
Environmental Information Processing	Signal transduction	hsa04371	Apelin signaling pathway	57/2663	140/9497	0.407142857142857	1.45198487205622	3.36308660512641	0.000772753587434908	0.00323481324090438	0.00196671948403442	2782/2475/5567/4209/6262/10000/3265/22800/3709/4842/5564/54331/6547/6263/5604/4088/91860/4205/51764/115/5595/113/10014/5289/4089/2788/5605/5566/4854/6261/208/6543/6546/5581/53632/9759/23236/5332/182/3708/5894/4634/111/4638/59345/108/4208/340156/3710/107/2770/2792/5294/4846/51422/114/2776	57
Organismal Systems	Development and regeneration	hsa04380	Osteoclast differentiation	58/2663	143/9497	0.405594405594406	1.44646266238455	3.35793998301806	0.000780816989183816	0.00323481324090438	0.00196671948403442	5293/3932/3716/10000/29760/4791/6688/8061/9846/3709/488/8600/5604/5595/5336/1535/489/9020/3690/5608/2885/8792/7297/5296/208/126014/11025/10990/10288/353514/23547/11027/10859/11006/2355/5534/3554/2274/6772/1385/10326/140885/3460/4689/10454/3708/4286/5291/5602/5530/5295/3710/23118/799/5533/6850/7186/695	58
Human Diseases	Substance dependence	hsa05031	Amphetamine addiction	32/2663	69/9497	0.463768115942029	1.65392632260663	3.40300060923912	0.000860529662330871	0.00352310967636639	0.00214199953100316	5567/148327/7054/5499/2893/775/2904/91860/2903/5579/5578/2905/84699/5566/5534/1385/776/111/5530/817/2891/6531/2890/3066/9586/816/1644/5533/23237/116443/2902/2892	32
Metabolism	Lipid metabolism	hsa00564	Glycerophospholipid metabolism	44/2663	103/9497	0.427184466019417	1.52345883356606	3.33422049308306	0.000930837715294724	0.00375969093660553	0.00228583750229193	5322/391013/8613/5321/1103/259230/196051/81490/55500/56994/5319/160851/122618/255189/8399/162466/8612/10908/8605/79143/129642/23175/151056/2820/8527/56261/56894/8398/23171/5337/1608/5130/1609/79888/154141/56895/1607/9162/55326/137964/10555/375775/9468/139189	44
Organismal Systems	Endocrine system	hsa04910	Insulin signaling pathway	56/2663	138/9497	0.405797101449275	1.4471855322808	3.30317066498129	0.000939922734151383	0.00375969093660553	0.00228583750229193	5590/5293/2475/5792/5567/10000/80201/3098/5507/10580/3632/3265/5499/3636/867/32/5564/2308/5604/91860/7249/5595/5261/1398/6517/31/2885/23265/57521/25759/5605/3643/5566/5296/208/2997/6654/23433/3099/53632/3667/5834/5894/2932/5291/5602/5295/5575/5577/6009/51422/53358/8789/2203/2889/5255	56
Cellular Processes	Cell motility	hsa04814	Motor proteins	75/2663	197/9497	0.380710659898477	1.35772029179716	3.16704084241881	0.00131454413711626	0.00514722909281649	0.00312944055552364	832/79819/23046/55083/53904/7140/4647/79659/7846/84790/283446/92558/196385/23026/3831/57519/4644/4643/9493/4649/146439/4629/55567/3801/146754/8735/4622/4619/4620/1770/51168/399687/4642/80179/27175/64446/80022/8632/260334/4645/4542/7171/4650/147700/79784/7138/3797/4648/113457/4430/56171/547/55614/9371/57644/84700/4634/25981/4636/1062/1767/4651/3796/63971/221458/89953/4646/6993/60/8701/64005/1780/93408/347240/6990	75
Human Diseases	Cancer: specific types	hsa05214	Glioma	34/2663	76/9497	0.447368421052632	1.59544044113287	3.25323226521419	0.00132176225558327	0.00514722909281649	0.00312944055552364	5293/2475/1870/10000/57118/3265/4193/5925/5604/91860/3480/5579/5595/5336/5578/2885/25759/5605/5296/208/6654/7039/5335/5894/5291/5156/817/5295/5159/1871/816/1956/1021/53358	34
Environmental Information Processing	Signal transduction	hsa04152	AMPK signaling pathway	50/2663	122/9497	0.409836065573771	1.46158960373793	3.20308707397301	0.00133117993779737	0.00514722909281649	0.00312944055552364	5293/2475/148327/5208/10000/5214/5209/1374/79602/32/5564/8408/2308/81617/55012/5527/3480/7249/23417/6517/31/57521/84699/3643/9230/5296/208/2997/126129/1385/53632/3667/1375/5523/5291/5522/23216/79966/5295/5515/5521/9586/948/1080/6009/51422/148/5862/8789/2203	50
Human Diseases	Cancer: specific types	hsa05225	Hepatocellular carcinoma	66/2663	170/9497	0.388235294117647	1.38455523403503	3.15813468928444	0.00140043844249218	0.00535552283502503	0.00325608012655787	5293/2475/1870/2948/7482/7483/89780/10000/6934/3265/3481/4041/81029/4040/4257/7480/7296/11211/5925/8110/7043/5604/4088/3480/8312/5579/5595/29117/5336/7473/7484/8313/5578/2885/4089/25759/5605/6597/5296/208/6654/7039/83439/7475/5335/10587/7477/5894/7476/7474/2932/5291/86/2549/7015/5295/1452/1871/57492/60/1956/8326/1021/4233/6595/53358	66
Human Diseases	Cancer: specific types	hsa05220	Chronic myeloid leukemia	34/2663	77/9497	0.441558441558442	1.57472043540388	3.1607853213582	0.00173850278900974	0.00657607576712379	0.00399815858799723	5293/1870/10000/1488/3265/9846/867/4193/5925/7043/5604/4088/5595/1398/6777/6776/2885/4089/25759/5605/5296/208/6654/861/613/5894/5291/1487/5295/1871/3066/1021/53358/25	34
Human Diseases	Endocrine and metabolic disease	hsa04930	Type II diabetes mellitus	23/2663	47/9497	0.48936170212766	1.74520018216537	3.1968659508243	0.00185574017198333	0.00694405999838924	0.00422188765782286	5590/5293/2475/777/80201/3098/6833/775/5595/6517/8913/3643/773/5296/5581/3099/3667/776/5291/6514/5602/5295/774	23
Organismal Systems	Endocrine system	hsa04922	Glucagon signaling pathway	44/2663	107/9497	0.411214953271028	1.46650710147013	3.02925477342481	0.00232626303239986	0.00861212271569309	0.00523604557124716	5567/148327/10000/5214/1374/23235/3945/3709/32/5564/2308/91860/1387/5261/31/84699/5566/208/2997/3276/126129/5534/1385/53632/23236/5332/5834/2033/1375/3708/6514/5530/817/108/3710/9586/816/51422/5533/2776/8789/2203/5160/5255	44
Human Diseases	Infectious disease: bacterial	hsa05110	Vibrio cholerae infection	24/2663	51/9497	0.470588235294118	1.67824876852731	3.03157683801525	0.00289669937582854	0.0106110671872456	0.00645137478716383	5567/3784/23545/30001/51382/7082/115/5336/535/5578/5566/245973/90423/525/5335/529/11015/6558/60/1080/50617/51606/245972/9414	24
Human Diseases	Cancer: specific types	hsa05221	Acute myeloid leukemia	30/2663	68/9497	0.441176470588235	1.57335822049436	2.96187094188971	0.00321281970396529	0.0116464714268742	0.00708088553176562	5293/2475/10000/6934/3265/6688/7704/5604/5371/5595/3684/5914/6777/6776/6774/2885/5605/5296/1050/208/6654/83439/8864/861/5894/5291/3815/5295/929/5467	30
Metabolism	Lipid metabolism	hsa00061	Fatty acid biosynthesis	11/2663	18/9497	0.611111111111111	2.17939249801811	3.12630827992036	0.00338578871224347	0.0121469533181518	0.00738517125513769	51102/55301/32/23205/197322/31/2181/27349/84869/23305/2182	11
Organismal Systems	Digestive system	hsa04972	Pancreatic secretion	43/2663	106/9497	0.405660377358491	1.4466979360772	2.8868844896139	0.00350945681157884	0.012462152759484	0.00757680793906924	51032/5322/391013/23436/10136/5906/493/6262/1131/3778/6343/3784/219931/3709/488/5319/8766/115/8399/5579/113/489/482/5578/478/6344/23236/5332/3708/491/111/7220/1360/952/108/6558/3710/107/1080/5644/114/2776/492	43
Environmental Information Processing	Signal transduction	hsa04370	VEGF signaling pathway	27/2663	60/9497	0.45	1.60482538490424	2.93364194912671	0.00361173407798382	0.0126957925165492	0.00771885751913608	5293/998/9047/5321/10000/3265/5829/255189/5604/5579/5595/5336/5578/25759/5605/5296/208/8605/5534/5335/5894/5291/5530/5295/4846/5533/5747	27
Organismal Systems	Immune system	hsa04664	Fc epsilon RI signaling pathway	30/2663	69/9497	0.434782608695652	1.55055592744371	2.86506612708754	0.00418441544871438	0.014561765761526	0.00885334215991148	5293/10451/5321/10000/240/3265/9846/255189/5604/5595/5336/6416/5606/5578/5608/2885/5605/5296/208/8605/6654/5335/5894/5291/5602/5295/4067/6850/7410/695	30
Human Diseases	Infectious disease: bacterial	hsa05100	Bacterial invasion of epithelial cells	33/2663	78/9497	0.423076923076923	1.50881019093561	2.81656094547388	0.00461704933624711	0.0159082491981583	0.00967198453971515	5293/998/26052/29119/7414/1793/867/5829/1398/1213/10801/25759/1785/5296/1496/4735/8218/859/5291/2549/79658/5295/1495/1212/60/9844/858/4233/653857/5747/1211/53358/1759	33
Environmental Information Processing	Signal transduction	hsa04340	Hedgehog signaling pathway	25/2663	56/9497	0.446428571428571	1.59208867550024	2.77389628125695	0.0056803452031859	0.0193800012814578	0.0117827593997974	5567/23432/55733/84976/51684/156/50937/894/23295/409/596/5566/1954/2736/4036/8452/91653/2932/2121/1452/23291/23288/2737/6608/8454	25
Environmental Information Processing	Signal transduction	hsa04392	Hippo signaling pathway - multiple species	15/2663	29/9497	0.517241379310345	1.84462687920028	2.84349992722472	0.0058844057112644	0.0198812930827185	0.0120875375366801	7003/5058/10413/7004/26524/126374/8463/55233/9770/166824/79633/54798/7005/79981/6788	15
Genetic Information Processing	Information processing in viruses	hsa03265	Virion - Ebolavirus, Lyssavirus and Morbillivirus	8/2663	12/9497	0.666666666666667	2.37751908874703	2.98049247789577	0.0060316011642108	0.02018266543409	0.0122707675506718	6504/4179/4684/4804/4864/10332/1134/4685	8
Organismal Systems	Aging	hsa04213	Longevity regulating pathway - multiple species	27/2663	62/9497	0.435483870967742	1.55305682410088	2.72717556389125	0.00623985258437973	0.0206806542796585	0.0125735375384494	5293/2475/5567/10000/3265/81570/5564/2308/3480/115/113/57521/3643/5566/5296/208/53632/3667/111/5291/108/5295/3305/3066/107/51422/114	27
Human Diseases	Infectious disease: bacterial	hsa05135	Yersinia infection	52/2663	138/9497	0.376811594202899	1.34381513711788	2.53961721281984	0.00846068114015953	0.0276710221859845	0.0168235797319506	5293/998/3932/10451/10000/114548/1793/51135/5829/8874/5604/4210/5595/4775/1398/6416/5606/147179/5608/10458/23396/5605/5585/5296/208/9138/58484/925/7535/927/7456/5335/10454/2932/5291/5602/5295/23118/6196/60/8935/9844/653857/2185/5747/8395/2776/7099/7410/7186/7454/27330	52
Organismal Systems	Endocrine system	hsa04924	Renin secretion	29/2663	69/9497	0.420289855072464	1.49887072986226	2.59609888601175	0.00850804417787454	0.0276710221859845	0.0168235797319506	1907/5567/779/134/183/3778/775/5139/3709/91860/5566/5534/5136/1385/23236/5332/3708/776/111/5593/5530/1909/3710/117/5137/2770/5533/2776/778	29
